,geneID,geneName,gamma,n_reads,n_reads_phasable,n_snvs,alpha_hat,alpha_hat_low,alpha_hat_high,major_hap,ll_alt,ll_null,lrt_stat,p_value,chi2_isoform,df_isoform,p_value_isoform,p_value_isoform_low,p_value_isoform_high,CellType,p_value_gene_adj,p_value_isoform_adj,p_value_isoform_adj_high,p_value_isoform_adj_low
10,ENSG00000025770,NCAPH2,0.9699848844741956,64,18,4,0.3888735413568854,0.109370683506624,0.828120683506624,B,-37.40262728556968,-37.85089256500777,0.8965305588761794,0.3437137023919436,8.181338513630864,5,0.1465208182436277,0.0035338077947306,0.7962109012675447,"T cells, CD4+",0.3819041137688262,0.2442013637393795,0.9547413747057424,0.0070676155894612
11,ENSG00000025770,NCAPH2,0.9699848844741956,14,4,4,0.2506211471749644,0.0716060420499898,0.7858917563357042,A,-8.395584263060151,-8.913873412928268,1.0365782997362345,0.3086186063053844,2.99951772646794,3,0.3916995393402206,0.2526872121082769,0.9323960450030054,"T cells, CD8+",0.6172372126107688,0.8066679695307437,1.0,0.3158590151353461
12,ENSG00000184983,NDUFA6,0.9560613098002788,355,86,5,0.3969113104486068,0.0961531625312118,0.8538996414044514,B,-140.53777370933918,-142.3146343751094,3.55372133154043,0.059412066134839,10.442982067205474,4,0.0335915262229354,0.0335915262229354,0.9613123506715232,B cells,0.228972427297416,0.08397881555733851,0.998667408214722,0.047987894604193435
13,ENSG00000184983,NDUFA6,0.9560613098002788,2153,400,5,0.4732608597944056,0.0879258448294297,0.9021385712576694,B,-623.5595226565787,-624.1130413163645,1.1070373195716456,0.2927268773924327,0.5353847194877382,2,0.7651431337286738,0.7651431337286738,0.7938474098997529,Bulk,0.4500345790086986,0.7651431337286738,0.9999270025451948,0.7651431337286738
14,ENSG00000184983,NDUFA6,0.9560613098002788,1158,177,5,0.4805846151714626,0.0734572339251717,0.9206074929925292,B,-268.16670442943825,-268.29633577599697,0.2592626931174209,0.6106271474800369,0.896284672680452,2,0.6388137511491182,0.6388137511491182,0.63970294652984,Monocytes,0.7697383887516424,0.6388137511491182,0.9959651534761912,0.6388137511491182
15,ENSG00000184983,NDUFA6,0.9560613098002788,124,32,5,0.4674243114338164,0.1206256287571139,0.8625611126280817,A,-49.80009548535194,-49.86620363007121,0.1322162894385457,0.7161450915183809,2.063644910925854,4,0.7240539999263854,0.6116853958468125,0.7240539999263854,NK cells,0.7957167683537565,0.8045044443626505,0.9989644657424586,0.6116853958468125
16,ENSG00000184983,NDUFA6,0.9560613098002788,158,35,5,0.4838141335596536,0.1071740169277715,0.8856550295859993,A,-55.469462984555854,-55.487242138853766,0.0355583085958244,0.8504305464237357,0.6413007781675752,2,0.72567691121617,0.7067833104828143,0.72567691121617,"T cells, CD4+",0.8504305464237357,0.72567691121617,0.9547413747057424,0.7067833104828143
17,ENSG00000184983,NDUFA6,0.9560613098002788,78,22,5,0.494888214088926,0.1395838552558509,0.8575325732045689,B,-35.41541080840824,-35.41651538353437,0.0022091502522556,0.962511953598502,1.9419233713643471,3,0.5845477897241504,0.5845477897241504,0.6294018767477071,"T cells, CD8+",0.962511953598502,0.8066679695307437,1.0,0.5845477897241504
18,ENSG00000100347,SAMM50,0.4359823399558499,54,34,2,0.4133153398327979,0.260235584339169,0.6306059547095394,B,-63.41312050696333,-63.919918433555935,1.0135958531852225,0.3140429223928573,0.1432152025109335,2,0.930896106615916,0.1063609038359953,0.930896106615916,B cells,0.4486327462755105,0.930896106615916,0.998667408214722,0.11817878203999477
19,ENSG00000100347,SAMM50,0.4359823399558499,453,313,2,0.471371049283161,0.3256934623082327,0.6347442349351642,A,-609.5434051175121,-610.048151880033,1.009493525041762,0.315024205306089,2.1769113423284336,2,0.3367361236695239,6.805667140952211e-14,0.7823430546406508,Bulk,0.4500345790086986,0.3741512485216932,0.9999270025451948,1.1342778568253685e-13
